,Names,Price
0,"Samsung Chromebook 500C - Celeron processor - 2gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 7,700"
1,"Toshiba Portégé Z30-A-13E i5-4200U Notebook 33.8 cm (13.3"") Intel® Core™ i5 4 GB DDR3-SDRAM 128 GB SSD Windows 7 Professional Metallic","Rs. 32,999"
2,"Samsung Chromebook 500C | 2GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN","Rs. 7,500"
3,"Dell Latitude D620 Core 2 Duo 2.4GHz, 2GB RAM, 160GB Hard Drive, DVDRW, 14.1 Display, Windows 7 Professional","Rs. 14,000"
4,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"Rs. 21,500"
5,Fujitsu T726 Core i7-6th Generation 8Gb Ram 500Gb Hard Drive,"Rs. 50,000"
6,4K Digital Camera 48MP Vlogging YouTube 60FPS Auto Focus 16X Zoom Camcorder New Recording Video Camera With WIFI LENS 128G Card,"Rs. 4,005"
7,Lenovo Chromebook 11.6″ display approximately 4 GB RAM  16 GB ROM – With Play Store - PUBG Supported,"Rs. 9,999"
8,"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 8GB DDR4, 256GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","Rs. 210,000"
9,"Acer Chromebook R11 Touchsreen - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 12,700"
10,Acer C740 ChromeBook Laptop - 4gb / 16gb - With Play Store - Longer Battery Life,"Rs. 14,600"
11,Acer Chromebook R11 C738T TouchScreen | Intel Celeron 5th Gen | 4GB RAM | 16GB SSD,"Rs. 12,499"
12,"Lenovo Yoga Pro 9 16IMH9- Core Ultra 9 185H- 32GB RAM- 1TB SSD M.2- NVIDIA GeForce RTXTM 4060 8GB, 16″ 3.2K Mini LED Touchscreen-Windows 11 Home 64- 2 Years local Warranty- 83DN","Rs. 949,999"
13,"CTL Chromebook PX11EG | 4GB RAM DDR4 | 32 GB eMMC | 11.6"" Display size","Rs. 90,000"
14,Acer C732  Chromebook Laptop - 4GB/32GB - with Play Store - Long Battery Life,"Rs. 17,500"
15,HP 15 EQ2174AU R5 5500U 8GB 512GB WIN 11 1YR HP WARRANTY,"Rs. 119,999"
16,Heat Dissipation Breathable Cooling Case For iPhone 15 14 13 12 11 Pro Max XR S X 8 7 Plus SE 12Pro PP Plain Color Coque Capinha,"Rs. 4,002"
17,HP 15 FQ2505TU I51135G7 8GB 512GB WIN11 1YR HP WARRANTY,"Rs. 130,999"
18,"LENOVO CHROMEBOOK 100E | 4GB RAM DDR4 | 32GB SSD EMMC | 11.6"" SCREEN | PLAYSTORE SUPPORTED","Rs. 10,200"
19,Memory Card 1TB High Speed Memory Cards Full HD Video TF Card External Storage For Tablet/PC/Smartphone/Camera/Dash Cam And Dron,"Rs. 3,870"
20,Protective Hydrogel Film For CMF Watch Pro 2 Cover Soft TPU Screen Protector For CMF by Nothing Watch Pro 2 Accessorie Not Glass,"Rs. 3,191"
21,"Lenovo Thinkpad Yoga 260 2-in-1- 12.5 inch Touchscreen FHD, Intel Core i5-6300U 6th Gen, 256GB SSD, 8GB DDR4, Windows 10 Pro","Rs. 51,999"
22,HP EliteBook 820g1 Core i5-4th Generation 4GB Ram 500gb HDD,"Rs. 35,000"
